grupo,subgrupo,indicador_en,indicador_pt,1T21,1T22,3T22,1T23,2T23,3T23,4T23,1T24,2T24,3T24,4T24,1T25,2T25,3T25,4T25
Meio Ambiente,Combustível,"Total fuel consumed per ASK (GJ / ASK, million)","Combustível consumido por ASK (Kg / ASK, milhares)",1156.6,1156.2271877375272,1140.2725477027966,1107.809925256651,1107.692093749352,1096.0,1098.0302345048988,1079.42803240846,1085.2,1064.4,1072.93,1052.85,1052.9,1049.9,1058.9225923902663
Meio Ambiente,Combustível,Total fuel consumed (GJ x 1000),Combustível consumido (GJ x 1000),8291.0,10479.841141952616,11800.329327236015,11963.101427276584,11700.88907236307,12651.0,12193.249498744624,11957.046845553961,11849.0,12738.1,13229.13,1052.85,13506.0,13458.0,13194.081643245605
Meio Ambiente,Frota,Average age of operating fleet¹,Idade média da frota operacional¹,6.3,6.9,7.0,7.2,7.3,7.3,7.4,7.4,7.23,7.18,7.3,7.23,7.1,7.3,7.2
Social,Relações Trabalhistas,Employee monthly turnover (%),% de Rotatividade mensal de funcionários,1.2,1.92,1.09,0.9,0.9,0.9,0.7,0.9,0.5499999999999999,0.7,0.9,1.03,0.7,0.9,0.8
Social,Relações Trabalhistas,% of employee covered under collective bargaining agreements ,% de funcionários cobertos por acordos de negociação coletiva,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Social,Relações Trabalhistas,Volunteers,Voluntários ,1801.0,2990.0,3982.0,4722.0,5091.0,5549.0,6012.0,6385.0,7043.0,6875.0,6987.0,7363.0,7380.0,7445.0,7153.0
Social,Gênero e Diversidade,% Male,% Masculino,59.1,59.050000000000004,59.3,59.9,59.7,59.9,59.4,59.2,59.4,59.5,59.3,59.3,59.0,59.0,58.7
Social,Gênero e Diversidade,% Female,% Feminino,40.9,40.949999999999996,40.699999999999996,40.1,40.3,40.1,40.6,40.8,40.6,40.5,40.8,40.7,41.0,41.0,41.3
Governança,Administração,Independent directors (%),% de Conselheiros Independentes,90.0,90.9,90.9,90.9,90.9,90.9,91.7,91.7,91.66666666666666,91.66666666666666,91.66666666666666,92.3,88.9,88.89,88.89
Governança,Administração,Percent of board members that are women,% de Participação de mulheres no conselho de administração,10.0,9.1,9.1,18.2,18.2,18.2,25.0,25.0,25.0,25.0,25.0,23.1,22.2,22.2,22.2
Governança,Administração,Board of directors average age,Idade média dos membros do Conselho de Administração,59.0,59.53,59.97,58.63,58.88,59.3,58.1,58.36,58.62,58.87,59.12,57.7,53.9,54.2,54.2
Governança,Administração,Director meeting attendance (%),% de Frequência da diretoria em reuniões ,88.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Governança,Administração,Board size,Tamanho do Conselho de Administração,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,9.0,9.0,9.0
Governança,Administração,Participation of woman in leadership positions (%),% de Participação de mulheres em cargo de gestão,39.5,41.099999999999994,40.300000000000004,40.0,40.0,40.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,38.5
